ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3M2BC1772,0,29,2024-03-21 16:17:49,99.97518,578.2,729.7,14.21689,13.37982,0,0,1.15,1.15,1.5,60.05753,231.1196,119.8363,118.0476,59.71691,59.62773,5,5,49.97077,49.19402,50.18648,50.1216,0,0,1,5.5,40,210,-0.248888,120,-11.2523,128.5289,128.5289,808.0362,128.5289,291.5713,128.5289,293.4086,31.67817,31.68892
E3M2BC1772,0,30,2024-03-21 16:17:55,99.97518,577.7,726.7,14.51218,13.48034,0,0,1.15,1.15,1.5,59.98326,230.3228,119.3736,117.9183,59.76939,59.58131,5,5,49.99385,49.49831,50.13835,50.08147,0,0,1,5.5,40,210,-0.2488899,120,-11.25229,138.6183,138.6183,806.5477,138.6183,294.1958,138.6183,295.8561,31.67765,31.85138
E3M2BC1772,0,31,2024-03-21 16:18:01,99.99455,574.7,726.8,14.66369,13.60485,0,0,1.15,1.15,1.5,59.63995,229.5843,118.9611,118.0187,59.70941,59.54116,5,5,49.99615,49.69402,50.05789,49.98951,0,0,1,5.5,40,210,-0.248888,120,-11.22158,148.6878,148.6878,804.9778,148.6878,296.3543,148.6878,298.3586,31.6901,31.57755
E3M2BC1772,0,32,2024-03-21 16:18:07,99.99455,574.7,726.9,14.6283,13.59032,0,0,1.15,1.15,1.5,59.73248,230.3947,118.9837,118.2121,59.80437,59.54994,5,5,49.94461,49.79146,50.0451,49.98087,0,0,1,5.5,40,210,-0.248888,120,-11.22153,158.7508,158.7508,803.5706,158.7508,299.1497,158.7508,300.9121,31.73308,31.74323
E3M2BC1772,0,33,2024-03-21 16:18:13,99.97518,574.8,727,14.64417,13.56283,0,0,1.15,1.15,1.5,59.92483,230.3557,118.7096,118.2875,59.73315,59.61644,5,5,49.89308,49.92992,50.0188,49.93272,0,0,1,5.5,40,210,-0.248888,120,-11.3159,168.847,168.847,802.4267,168.847,301.1879,168.847,303.2693,31.7546,31.7151
E3M2BC1772,0,34,2024-03-21 16:18:19,99.97518,574.8,726.7,14.68563,13.55164,0,0,1.15,1.15,1.5,59.7763,230.0681,120.4575,118.2674,59.96306,59.63024,5,5,49.99308,49.95555,50.03082,49.93272,0,0,1,5.5,40,210,-0.2488861,120,-11.3171,178.9501,178.9501,800.1532,178.9501,303.6299,178.9501,305.7207,31.73397,31.87875
E3M2BC1772,0,35,2024-03-21 16:18:25,99.97518,577,727.5,14.4663,13.40496,0,0,1.15,1.15,1.5,59.92239,230.7541,118.8957,118.5211,60.15673,59.62271,5,5,49.99231,49.97096,50.03383,49.97345,0,0,1,5.5,40,210,-0.248888,120,-11.31709,189.0529,189.0529,798.8035,189.0529,305.9011,189.0529,308.1132,31.6262,31.74293
E3M2BC1772,0,36,2024-03-21 16:18:31,99.97518,577.5,727.5,14.28023,13.45978,0,0,1.15,1.15,1.5,59.85057,229.454,120.4097,118.609,59.89933,59.61518,5,5,50.02385,50.04185,49.9827,49.90864,0,0,1,5.5,40,210,-0.248888,120,-11.31709,199.1227,199.1227,796.9081,199.1227,308.2266,199.1227,310.27,31.7852,31.96905
E3M2BC1772,0,37,2024-03-21 16:18:37,99.97518,576.6,726.7,14.37219,13.62299,0,0,1.15,1.15,1.5,59.89196,230.179,121.5288,118.6153,59.90059,59.62145,5,5,49.99692,49.95555,50.00525,49.96358,0,0,1,5.5,40,210,-0.248888,120,-11.31709,209.1923,209.1923,795.3143,209.1923,310.6453,209.1923,312.7293,31.71695,31.49212
E3M2BC1772,0,38,2024-03-21 16:18:43,99.97518,576.5,727.2,14.26354,13.53416,0,0,1.15,1.15,1.5,59.98205,230.51,119.5471,118.5286,59.51574,59.63776,5,5,49.96154,50.00685,50.02405,49.95493,0,0,1,5.5,40,210,-0.2488861,120,-11.27842,219.2886,219.2886,794.1512,219.2886,312.6641,219.2886,314.8665,31.69497,31.59382
E3M2BC1772,0,39,2024-03-21 16:18:49,99.99455,577.2,727.3,14.33594,13.33194,0,0,1.15,1.15,1.5,59.825,229.9138,118.9988,118.7547,59.42328,59.59385,5,5,50.05462,49.92393,50.05037,50.02346,0,0,1,5.5,40,210,-0.2488899,120,-11.21402,229.3581,229.3581,792.0213,229.3581,314.7528,229.3581,316.98,31.67743,31.64272
E3M2BC1772,0,40,2024-03-21 16:18:55,99.99455,577.4,727.3,14.36903,13.2832,0,0,1.15,1.15,1.5,59.97353,230.0232,119.0994,118.8979,59.47826,59.58381,5,5,49.98616,49.91454,50.02933,49.99074,0,0,1,5.5,40,210,-0.2488899,120,-11.21399,239.4541,239.4541,790.8104,239.4541,316.8454,239.4541,319.1643,31.7285,31.6575
E3M2BC1772,0,41,2024-03-21 16:19:01,99.97518,577.2,727.1,14.41821,13.3059,0,0,1.15,1.15,1.5,60.01127,229.764,120.3317,118.8514,59.43702,59.57503,5,5,49.96154,49.93761,50.0218,49.97345,0,0,1,5.5,40,210,-0.2488899,120,-11.21848,249.5704,249.5704,789.0394,249.5704,319.0312,249.5704,321.7021,31.77365,31.73273
E3M2BC1772,0,42,2024-03-21 16:19:07,99.97518,577,727,14.44284,13.41037,0,0,1.15,1.15,1.5,59.97353,230.4396,120.6033,118.3327,59.36455,59.5675,5,5,49.99076,49.92906,50.05412,49.97222,0,0,1,5.5,40,210,-0.248888,120,-11.26097,259.6733,259.6733,787.2877,259.6733,321.2985,259.6733,323.5918,31.7516,31.81965
E3M2BC1772,0,43,2024-03-21 16:19:13,99.97518,577.3,726.9,14.45492,13.4152,0,0,1.15,1.15,1.5,60.12571,230.6059,120.4625,118.2071,59.20962,59.53865,5,5,50.02769,50.02223,50.03532,49.95988,0,0,1,5.5,40,210,-0.2488861,120,-11.29356,269.783,269.783,785.2487,269.783,323.1969,269.783,325.9882,31.7174,31.7859
E3M2BC1772,0,44,2024-03-21 16:19:19,99.97518,577.4,726.5,14.28931,13.40398,0,0,1.15,1.15,1.5,59.94674,229.46,121.0887,118.442,59.32332,59.60138,5,5,50.04846,50.01024,50.02707,49.97901,0,0,1,5.5,40,210,-0.248888,120,-11.29359,279.8592,279.8592,783.7219,279.8592,325.2934,279.8592,328.0625,31.79098,31.83307
E3M2BC1772,0,45,2024-03-21 16:19:25,99.99455,577,726.7,14.32878,13.47267,0,0,1.15,1.15,1.5,59.91387,230.4171,120.1003,118.138,59.39954,59.55621,5,5,49.94924,50.05556,49.96992,49.9463,0,0,1,5.5,40,210,-0.248888,120,-11.29358,289.9689,289.9689,782.6976,289.9689,327.4559,289.9689,330.1368,31.79098,31.88347
E3M2BC1772,0,46,2024-03-21 16:19:32,99.99455,578.2,726.3,14.30756,13.43427,0,0,1.15,1.15,1.5,59.96257,230.495,120.7366,118.1757,59.55822,59.54116,5,5,49.94538,49.98122,50.01353,50.00617,0,0,1,5.5,40,210,-0.248888,120,-11.32618,300.0586,300.0586,781.2808,300.0586,329.5951,300.0586,332.3172,31.76233,31.91055
E3M2BC1772,0,47,2024-03-21 16:19:38,99.99455,577.8,726.2,14.32502,13.37944,0,0,1.15,1.15,1.5,60.03318,229.5603,120.1054,118.2058,59.67693,59.49975,5,5,49.90077,50.00856,50.03233,50.01173,0,0,1,5.5,40,210,-0.248888,120,-11.32619,310.1747,310.1747,779.7588,310.1747,331.9283,310.1747,334.584,31.69835,31.80803
E3M2BC1772,0,48,2024-03-21 16:19:44,100.01,577.7,726,14.30976,13.26035,0,0,1.15,1.15,1.5,59.965,230.6103,120.0953,117.9522,59.71441,59.48093,5,5,49.98153,49.88631,50.03008,50.10617,0,0,1,5.5,40,210,-0.248888,120,-11.32619,320.3177,320.3177,777.9879,320.3177,333.9239,320.3177,336.7879,31.733,31.6527
E3M2BC1772,0,49,2024-03-21 16:19:50,100.01,578,726.2,14.41452,13.24445,0,0,1.15,1.15,1.5,59.9857,229.4645,120.5908,117.8969,59.8681,59.47466,5,5,50.03308,49.98378,49.9827,50.03456,0,0,1,5.5,40,210,-0.2488861,120,-11.32619,330.4005,330.4005,776.035,330.4005,336.3232,330.4005,339.0193,31.75738,31.78155
E3M2BC1772,0,50,2024-03-21 16:19:56,99.99455,578.4,726.3,14.40905,13.25031,0,0,1.15,1.15,1.5,59.98935,230.2688,119.7231,117.863,59.81937,59.49599,5,5,49.97692,49.94957,50.00301,50.07777,0,0,1,5.5,40,210,-0.2488861,120,-11.39789,340.5232,340.5232,774.7427,340.5232,338.3692,340.5232,340.9207,31.67825,31.85452
E3M2BC1772,0,51,2024-03-21 16:20:02,99.97518,576.5,725.6,14.64568,13.46672,0,0,1.15,1.15,1.5,60.00518,229.6307,119.3886,117.7525,59.7519,59.54366,5,5,49.96923,50.01878,50.00301,49.99506,0,0,1,5.5,40,210,-0.2488861,120,-11.398,350.6526,350.6526,773.2159,350.6526,339.9687,350.6526,342.8497,31.70922,31.6224
E3M2BC1772,0,52,2024-03-21 16:20:08,99.99455,576.7,725.5,14.58114,13.46982,0,0,1.15,1.15,1.5,60.00883,229.1859,120.1683,118.0363,60.01804,59.46587,5,5,49.94307,50.00169,49.99548,50.02655,0,0,1,5.5,40,210,-0.248888,120,-11.44048,360.7424,360.7424,771.5168,360.7424,342.2787,360.7424,344.9004,31.75115,31.8219
E3M2BC1772,0,53,2024-03-21 16:20:14,99.99455,577.3,725.9,14.40633,13.37558,0,0,1.15,1.15,1.5,59.97474,230.4561,120.3493,117.8529,59.67567,59.41067,5,5,49.92769,50.02223,49.96918,50.0358,0,0,1,5.5,40,210,-0.2488899,120,-11.38534,370.8852,370.8852,770.0043,370.8852,344.1189,370.8852,347.0297,31.75108,31.83158
E3M2BC1772,0,54,2024-03-21 16:20:20,99.99455,577.8,725.6,14.37903,13.29469,0,0,1.15,1.15,1.5,59.97353,229.6038,119.2503,118.1908,59.65194,59.44706,5,5,50.01077,50.0778,49.95338,50.00555,0,0,1,5.5,40,210,-0.2488899,120,-11.38532,381.0014,381.0014,768.0419,381.0014,346.1533,381.0014,349.0764,31.76292,31.48988
E3M2BC1772,0,55,2024-03-21 16:20:26,99.99455,577.8,725.7,14.32043,13.37815,0,0,1.15,1.15,1.5,59.96988,229.9917,119.9872,118.5851,59.74815,59.37554,5,5,50.0123,50.03249,49.9624,50.02099,0,0,1,5.5,40,210,-0.2488861,120,-11.35423,391.1042,391.1042,766.3045,391.1042,348.0401,391.1042,350.9504,31.77987,31.52917
E3M2BC1772,0,56,2024-03-21 16:20:32,99.99455,577.8,725.4,14.41877,13.30903,0,0,1.15,1.15,1.5,60.03927,229.2622,119.8966,118.6567,59.73565,59.41694,5,5,49.93692,50.0735,49.96541,49.99568,0,0,1,5.5,40,210,-0.2488899,120,-11.35457,401.2404,401.2404,764.9357,401.2404,349.7794,401.2404,352.8754,31.77965,31.6422
E3M2BC1772,0,57,2024-03-21 16:20:38,100.01,577.6,725.6,14.36921,13.24576,0,0,1.15,1.15,1.5,60.0137,230.2074,118.0482,119.0033,59.40953,59.43953,5,5,49.89923,49.91197,50.01353,50.09938,0,0,1,5.5,40,210,-0.2488899,120,-11.32111,411.3298,411.3298,763.6099,411.3298,351.7827,411.3298,354.9457,31.75663,31.5651
E3M2BC1772,0,58,2024-03-21 16:20:44,99.99455,577.8,725.2,14.40358,13.22158,0,0,1.15,1.15,1.5,59.96257,229.093,118.7071,119.3136,59.50574,59.36048,5,5,50,49.96495,50.00902,50.00247,0,0,1,5.5,40,210,-0.2488842,120,-11.28096,421.4725,421.4725,761.6044,421.4725,353.9607,421.4725,357.1064,31.7171,31.88288
E3M2BC1772,0,59,2024-03-21 16:20:51,99.99455,577.9,725.2,14.43986,13.25809,0,0,1.15,1.15,1.5,60.00396,229.3836,119.0969,119.6024,59.33332,59.34041,5,5,49.96462,49.99742,49.98421,49.99197,0,0,1,5.5,40,210,-0.2488842,120,-11.28097,431.5887,431.5887,760.135,431.5887,355.7155,431.5887,359.2239,31.85172,31.75793
E3M2BC1772,0,60,2024-03-21 16:20:57,99.97518,577.9,725.1,14.44922,13.29076,0,0,1.15,1.15,1.5,60.0137,230.823,120.1205,119.5471,59.43327,59.38056,5,5,49.95693,50.02821,49.97443,49.9284,0,0,1,5.5,40,210,-0.2488861,120,-11.28096,441.7047,441.7047,758.3545,441.7047,357.7499,441.7047,361.0743,31.69513,31.87523
E3M2BC1772,0,61,2024-03-21 16:21:03,99.97518,577.9,725.4,14.30729,13.28545,0,0,1.15,1.15,1.5,59.98692,229.7341,119.361,119.6175,59.52324,59.37805,5,5,49.94077,50.07265,49.94887,49.92406,0,0,1,5.5,40,210,-0.2488861,120,-11.28096,451.8811,451.8811,756.9521,451.8811,359.4387,451.8811,362.7282,31.70075,31.55565
E3M2BC1772,0,62,2024-03-21 16:21:09,99.97518,577.5,725,14.37024,13.2302,0,0,1.15,1.15,1.5,59.94674,229.2563,120.0601,119.4379,59.19962,59.34668,5,5,49.99,50.08546,49.97368,49.92345,0,0,1,5.5,40,210,-0.2488899,120,-11.24911,461.9971,461.9971,754.9083,461.9971,361.3217,461.9971,364.6611,31.78482,31.70992
E3M2BC1772,0,63,2024-03-21 16:21:15,99.99455,577.6,724.7,14.32492,13.2709,0,0,1.15,1.15,1.5,59.99666,230.2509,119.8816,119.2859,59.27459,59.3517,5,5,50.01154,50.04274,50.0015,49.94939,0,0,1,5.5,40,210,-0.2488861,120,-11.24911,472.0733,472.0733,752.9507,472.0733,363.2318,472.0733,366.4957,31.75685,31.89307
E3M2BC1772,0,64,2024-03-21 16:21:21,99.95969,577.8,725,14.17445,13.3534,0,0,1.15,1.15,1.5,60.03805,230.1265,119.8514,118.8577,59.14589,59.34668,5,5,50.01769,50.02733,49.98045,50.00123,0,0,1,5.5,40,210,-0.2488861,120,-11.24433,482.1694,482.1694,751.2899,482.1694,365.5883,482.1694,368.4482,31.7294,31.70347
