ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3E2BC1911,0,22,2024/3/14 17:33,20.00046,481.6,469.1,12.68456,11.00151,0,0,1.2,1.2,2,60.06929,318.6861,148.6622,118.5911,64.57105,65.14613,10,10,49.14918,49.30464,52.24194,50.40556,0,0,1,1.5,37,180,-0.4679813,120,5.69325,42.07089,42.66222,758.5573,42.66222,266.4833,42.66222,229.0087,32.72588,24.92006
E3E2BC1911,0,23,2024/3/14 17:33,39.67552,479.4,467.3,13.22111,11.46664,0,0,1.2,1.2,2,59.39827,322.8417,146.5226,117.6386,63.52131,63.86302,10,10,46.99262,39.12778,70.35886,56.25742,0,0,1,1.5,37,180,-0.4679794,120,5.693247,44.43403,45.02536,758.7142,45.02536,267.0387,45.02536,229.8112,32.714,24.92119
E3E2BC1911,0,24,2024/3/14 17:33,39.96606,477.9,467.5,13.35905,11.7496,0,0,1.2,1.2,2,57.9045,319.8804,149.3645,119.334,65.29017,65.51661,10,10,52.43443,51.75554,43.675,48.59538,0,0,1,1.5,37,180,-0.4679813,120,5.735516,48.55506,49.14639,759.0458,49.14639,267.9263,49.14639,230.7974,32.58413,24.92019
E3E2BC1911,0,25,2024/3/14 17:34,40.01254,470.4,459.5,13.87704,13.14775,0,0,1.2,1.2,2,58.88513,319.5441,150.1519,119.6429,64.95953,65.21842,10,10,50.85409,50.83241,48.20242,48.73427,0,0,1,1.5,37,180,-0.4679813,120,5.7356,52.59144,53.18277,757.2175,53.18277,269.222,53.18277,232.0688,32.58381,24.91944
E3E2BC1911,0,26,2024/3/14 17:34,95.95805,459.9,452.7,15.20623,14.95469,0,0,1.2,1.2,2,57.17734,322.5444,147.2975,114.2961,62.56081,62.5115,10,10,54.29426,43.675,67.28468,62.47314,0,0,1,1.5,37,180,-0.4679832,120,5.735602,59.50203,60.09336,757.3654,60.09336,270.8073,60.09336,233.6642,32.49644,24.91937
E3E2BC1911,0,27,2024/3/14 17:34,99.99455,466.3,460.5,14.39606,12.92825,0,0,1.2,1.2,2,56.91831,320.1046,148.4922,121.8207,65.31908,65.42496,10,10,55.82214,54.33333,36.65646,45.04167,0,0,1,1.5,37,180,-0.4679813,120,5.890482,69.63546,70.22679,755.425,70.22679,273.9874,70.22679,236.7244,32.40469,24.91925
E3E2BC1911,0,28,2024/3/14 17:34,99.97518,466.5,460.3,14.27692,12.8976,0,0,1.2,1.2,2,58.98998,321.0235,149.3095,121.8902,64.73198,64.94218,10,10,51.4082,52.08333,46.45808,46.22502,0,0,1,1.5,37,180,-0.4679775,120,5.944238,79.70475,80.29608,755.1785,80.29608,276.878,80.29608,239.9925,32.36819,24.9195
E3E2BC1911,0,29,2024/3/14 17:34,99.97518,474,467.9,13.42931,11.63928,0,0,1.2,1.2,2,59.74797,320.4239,150.5393,121.0741,64.49437,64.76016,10,10,49.94015,51.01204,49.09194,47.37222,0,0,1,1.5,37,180,-0.4679756,120,5.816092,89.78214,90.37347,755.313,90.37347,280.267,90.37347,243.2944,32.38475,24.91962
E3E2BC1911,0,30,2024/3/14 17:34,99.97518,466.1,455.9,14.52859,14.31144,0,0,1.2,1.2,2,60.14207,320.8261,150.3618,120.6363,64.26305,64.64528,10,10,50.20655,50.56667,49.69112,48.02963,0,0,1,1.5,37,180,-0.4679737,120,5.763962,99.85474,100.4461,753.1217,100.4461,283.2715,100.4461,246.403,32.43331,24.919
E3E2BC1911,0,31,2024/3/14 17:34,100.01,463,453.2,14.76181,14.10209,0,0,1.2,1.2,2,60.56763,320.4556,148.7022,120.2431,64.24796,64.54202,10,10,49.61147,50.28334,49.98144,48.47314,0,0,1,1.5,37,180,-0.4679775,120,5.732321,109.9225,110.5138,753.2651,110.5138,286.3044,110.5138,249.5598,32.36737,24.91925
E3E2BC1911,0,32,2024/3/14 17:34,100.01,471.5,455.9,14.15379,13.31418,0,0,1.2,1.2,2,60.15071,319.9145,148.8297,120.01,64.17001,64.51749,10,10,50.08443,50.14632,49.87499,48.75555,0,0,1,1.5,37,180,-0.4679756,120,5.732202,120.0169,120.6082,751.0111,120.6082,289.2377,120.6082,252.8666,32.43369,24.92
E3E2BC1911,0,33,2024/3/14 17:34,99.99455,475.2,466.9,13.48836,11.68266,0,0,1.2,1.2,2,59.77942,320.4044,149.4295,119.9963,64.12727,64.46456,10,10,50.45245,50.02132,49.95,49.04446,0,0,1,1.5,37,180,-0.4679699,120,5.732204,130.0775,130.6688,748.0401,130.6688,292.2422,130.6688,256.0186,32.41363,24.9185
