ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3L2BC2432,0,12,2024-03-20 22:40:10,20.03145,461.6,589.2,16.25626,14.82765,0,0,1.15,1.15,1.5,59.40011,225.6883,119.8966,72.69464,58.20628,57.76957,5,5,50.03692,49.6111,50.43759,50.2037,0,0,1,5.5,40,210,-0.248888,120,-11.05966,17.17346,18.05658,833.2408,18.05664,607.7928,18.05664,612.6207,32.70417,32.65088
E3L2BC2432,0,13,2024-03-20 22:40:16,19.98109,461.8,589.6,16.51002,15.34395,0,0,1.15,1.15,1.5,59.48533,225.8306,121.6646,73.97942,58.23001,57.78462,5,5,50.01769,49.86412,50.21428,50.12654,0,0,1,5.5,40,210,-0.2488861,120,-11.05966,19.20154,20.08467,832.7526,20.08473,608.1073,20.08473,612.8211,32.7032,32.57212
E3L2BC2432,0,14,2024-03-20 22:40:22,19.98109,469.6,597.5,15.60938,14.36227,0,0,1.15,1.15,1.5,59.55351,226.572,120.7266,75.18759,58.19003,57.89378,5,5,50.02616,49.90685,50.15187,50.07716,0,0,1,5.5,40,210,-0.248888,120,-11.05966,21.21125,22.09438,832.5133,22.09444,608.5383,22.09444,613.0372,32.70365,32.64352
E3L2BC2432,0,15,2024-03-20 22:40:28,20.00046,469.7,597.6,15.74673,14.48539,0,0,1.15,1.15,1.5,59.71543,228.1149,121.0384,76.57787,57.89265,58.10958,5,5,50.02385,49.94017,50.05188,50.03272,0,0,1,5.5,40,210,-0.248888,120,-11.19003,23.22354,24.10666,832.2022,24.10673,608.7906,24.10673,613.2415,32.7035,32.47425
E3L2BC2432,0,16,2024-03-21 00:24:11,4.939103,472.8,598.4,13.06701,12.99809,0,0,1.15,1.15,1.5,58.8827,164.444,121.569,48.39051,51.20414,43.83773,5,5,49.33231,55.5829,13.27068,58.63457,0,0,1,5.5,40,210,-0.2488976,120,-11.19007,24.54245,25.42557,832.9106,25.42563,260.0621,25.42563,261.2886,32.44025,32.5566
E3L2BC2432,0,17,2024-03-21 00:24:17,5.004957,472.7,597.7,13.43365,13.04058,0,0,1.15,1.15,1.5,58.75,155.1991,125.3011,41.09877,58.3962,53.72828,5,5,50.02,48.91792,45.18648,43.63394,0,0,1,5.5,40,210,-0.2488976,120,-11.19007,25.72319,26.60631,833.0159,26.60637,259.833,26.60637,260.1964,32.50295,32.76682
E3L2BC2432,0,18,2024-03-21 00:24:23,5.035948,472.2,598.2,13.52218,13.18795,0,0,1.15,1.15,1.5,58.45538,155.9705,122.2506,43.17226,59.71191,58.62776,5,5,50.02077,49.44872,44.72858,58.57285,0,0,1,5.5,40,210,-0.2488976,120,-11.19007,26.6288,27.51192,833.0207,27.51199,260.6173,27.51199,261.5832,32.52515,32.55015
E3L2BC2432,0,19,2024-03-21 00:24:29,20.00046,470.8,597.2,14.12622,13.60639,0,0,1.15,1.15,1.5,58.67817,208.6003,123.4502,61.00098,59.79813,59.4734,5,5,48.26154,63.53419,57.30602,41.60185,0,0,1,5.5,40,210,-0.2488976,120,-11.19007,27.68142,28.56454,832.8005,28.5646,260.1553,28.5646,261.0096,32.43995,32.5719
E3L2BC2432,0,20,2024-03-21 00:24:35,49.9566,468.9,596.8,14.51456,13.76012,0,0,1.15,1.15,1.5,58.76826,212.5323,122.7787,62.10491,59.06593,58.78083,5,5,47.85769,61.64787,52.16391,41.14506,0,0,1,5.5,40,210,-0.2488995,120,-11.12833,30.92116,31.80428,832.3554,31.80434,260.9007,31.80434,261.8936,32.56325,32.35852
E3L2BC2432,0,21,2024-03-21 00:24:41,49.98759,467.3,596.9,14.8759,13.98976,0,0,1.15,1.15,1.5,59.44516,216.2006,122.2103,71.26292,60.18047,60.54113,5,5,50.14461,44.34871,56.1624,54.8105,0,0,1,5.5,40,210,-0.2488995,120,-10.8367,35.95667,36.83979,831.8289,36.83985,262.3993,36.83985,263.2764,32.56595,32.2986
