ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3N2BC1432,0,75,2024-03-22 14:53:53,4.970093,521.8,674,13.47092,12.9996,0,0,1.15,1.15,1.5,60.4812,179.7315,101.1532,111.0598,59.6282,60.08066,5,5,49.95154,49.43163,50.2594,50.17036,0,0,1,5.5,32,230,-0.3469625,120,-11.48549,189.364,170.11,735.2224,190.0533,280.4406,190.0533,282.4047,32.1752,32.6631
E3N2BC1432,0,76,2024-03-22 14:53:59,19.9656,516,670.1,14.21775,13.50576,0,0,1.15,1.15,1.5,60.89026,176.3373,99.56881,111.1238,60.52908,60.19609,5,5,49.86847,47.24956,51.40225,52.15,0,0,1,5.5,32,230,-0.3469625,120,-11.48548,191.0082,171.7541,735.5765,191.6975,280.4755,191.6975,282.935,32.06847,32.6514
E3N2BC1432,0,77,2024-03-22 14:54:05,20.00046,507.8,661.2,14.9739,13.95311,0,0,1.15,1.15,1.5,59.91022,180.6767,99.8203,111.748,59.84686,60.12959,5,5,50.00692,47.97606,50.68495,51.44753,0,0,1,5.5,32,230,-0.3469625,120,-11.48548,193.0205,173.7664,734.7485,193.7098,280.1183,193.7098,283.1825,32.20588,32.53043
E3N2BC1432,0,78,2024-03-22 14:54:11,20.01595,505.7,656.3,15.55744,14.91832,0,0,1.15,1.15,1.5,59.62047,179.8498,100.7483,111.8334,59.71316,59.96523,5,5,50.01,48.95299,50.32933,50.49506,0,0,1,5.5,32,230,-0.3469605,120,-11.43704,195.0369,175.7829,734.8155,195.7262,281.5703,195.7262,283.6696,32.30075,32.63063
E3N2BC1432,0,79,2024-03-22 14:54:17,19.98109,505.4,656.4,15.41968,14.68658,0,0,1.15,1.15,1.5,59.69473,180.8699,100.4188,112.332,59.66568,59.79083,5,5,50.02,49.35811,50.23985,50.22222,0,0,1,5.5,32,230,-0.3469663,120,-11.43703,197.0576,177.8036,733.9922,197.7469,281.0889,197.7469,284.4318,32.22305,32.27505
E3N2BC1432,0,80,2024-03-22 14:54:23,20.00046,505.3,656,15.49102,14.63134,0,0,1.15,1.15,1.5,60.16467,181.2683,100.7684,112.8407,60.06177,59.76198,5,5,49.99923,49.7701,50.03157,50.04877,0,0,1,5.5,32,230,-0.3469663,120,-11.43703,199.0667,179.8127,733.1212,199.756,281.4888,199.756,284.8168,32.23077,32.50193
E3N2BC1432,0,81,2024-03-22 14:54:29,20.00046,505.5,656.5,15.52702,14.758,0,0,1.15,1.15,1.5,59.76778,179.7195,100.7282,113.1069,60.09425,59.87615,5,5,50.01077,49.86922,50.00978,49.99444,0,0,1,5.5,32,230,-0.3469644,120,-11.43703,201.0758,181.8217,732.7574,201.7651,281.9159,201.7651,285.025,32.27082,32.32582
E3N2BC1432,0,82,2024-03-22 14:54:35,20.00046,513.5,664.1,14.54247,13.74378,0,0,1.15,1.15,1.5,59.76048,179.9412,100.4239,113.5879,59.80062,59.86612,5,5,49.98462,49.88802,50.05865,49.96852,0,0,1,5.5,32,230,-0.3469605,120,-11.43703,203.0903,183.8363,733.1307,203.7796,282.7389,203.7796,285.3511,32.19342,32.53357
E3N2BC1432,0,83,2024-03-22 14:54:41,20.00046,524.5,669,13.80651,12.87429,0,0,1.15,1.15,1.5,60.29371,181.2608,100.4666,113.6268,59.92558,59.7419,5,5,49.97538,49.97523,50,50.01112,0,0,1,5.5,32,230,-0.3469605,120,-11.52842,205.1035,185.8494,732.767,205.7928,283.0883,205.7928,286.0622,32.21832,32.60107
E3N2BC1432,0,84,2024-03-22 14:54:47,27.61636,523.9,674.2,13.37445,12.72579,0,0,1.15,1.15,1.5,60.09771,184.2192,98.63328,112.8896,59.63569,59.36927,5,5,49.66923,54.51451,46.0639,48.65741,0,0,1,5.5,32,230,-0.3469625,120,-11.52847,207.1758,187.9218,732.1686,207.8651,282.9719,207.8651,286.5689,32.2238,32.42865
